qnum,option_code,option_label,direction_tag,score_value,dimension_contribution,dimension_direction,routing_rule,derived_metric_use
Q11,opt1,Shared values,,,,,not_in_h1_metric,
Q11,opt2,Shared sense of humour,,,,,not_in_h1_metric,
Q11,opt3,Shared interests or passions,,,,,not_in_h1_metric,
Q11,opt4,Shared cultural references,cultural,,,,counts_in_h1_attribution,cultural_attribution_share
Q11,opt5,Similar way of seeing the world,cultural,,,,counts_in_h1_attribution,cultural_attribution_share
Q11,opt6,Chemistry or energy,,,,,not_in_h1_metric,
Q11,opt7,Similar life situation or stage,,,,,not_in_h1_metric,
Q12,opt1,"Yes, and it was significant - real sense of being understood",strong_yes,4,,,counts_in_any_yes_and_strong_yes,any_yes_share + strong_yes_share
Q12,opt2,"Yes, but more a pleasant detail",soft_yes,3,,,counts_in_any_yes_only,any_yes_share
Q12,opt3,"Sometimes, not sure how much it matters",uncertain,2,,,not_in_validation_metric,
Q12,opt4,Rarely or never,no,1,,,counts_in_refutation,rarely_never_share
Q13,opt1,Similar cultural tastes,taste,,,,counts_in_signal_d_taste,taste_leaning_share
Q13,opt2,Engage with culture in a similar way,depth,,,,counts_in_signal_d_depth,depth_leaning_share
Q13,opt3,Very different cultural tastes (broaden perspective),broaden,,,,not_in_h2_verdict,broaden_share (separate finding)
Q13,opt4,None of these appeal,none,,,,not_in_h2_verdict,
Q14,opt1,Welcome it,open_unconditional,,,,counts_in_total_open_and_unconditional,total_open_share + unconditional_share
Q14,opt2,Open if credible,open_conditional,,,,counts_in_total_open_and_conditional,total_open_share + conditional_share
Q14,opt3,Sceptical,not_open,,,,counts_in_sceptical,sceptical_share
Q14,opt4,Prefer organic only,not_open,,,,counts_in_sceptical,sceptical_share
Q15,opt1,"Yes, absolutely",appetite,,,,counts_in_online_to_offline,online_to_offline_share
Q15,opt2,"Yes, after online first",appetite,,,,counts_in_online_to_offline,online_to_offline_share
Q15,opt3,Maybe depends,,,,,not_counted,
Q15,opt4,No prefer separate,,,,,not_counted,
Q21,opt1,Disengage - prefer accessible,,1,ACO,positive,,low_ACO contribution
Q21,opt2,Give it more time but only so far,,2,ACO,positive,,mid_low_ACO contribution
Q21,opt3,Persist - challenge is part of the appeal,,4,ACO,positive,,high_ACO contribution
Q21,opt4,Depends on mood and domain,,2.5,ACO,positive,,mid_ACO contribution
Q22,opt1,Get completely absorbed,,1,EEM,positive,,low_analytical (absorptive)
Q22,opt2,Stay aware and analytical,,3,EEM,positive,,high_analytical
Q22,opt3,Absorbed first reflective afterwards,,2,EEM,positive,,mid_EEM
Q24,opt1,"Yes, describes me (dwelling)",dwelling,1,CREP,negative,reverse_code_to_3,low_exploration (reverse-codes to high anti-exploration score)
