word,trait,trait_short,direction,score_contribution
Curious,Openness,O,positive,+1
Imaginative,Openness,O,positive,+1
Creative,Openness,O,positive,+1
Open-minded,Openness,O,positive,+1
Organized,Conscientiousness,C,positive,+1
Reliable,Conscientiousness,C,positive,+1
Disciplined,Conscientiousness,C,positive,+1
Careful,Conscientiousness,C,positive,+1
Sociable,Extraversion,E,positive,+1
Outgoing,Extraversion,E,positive,+1
Energetic,Extraversion,E,positive,+1
Friendly,Extraversion,E,positive,+1
Kind,Agreeableness,A,positive,+1
Supportive,Agreeableness,A,positive,+1
Cooperative,Agreeableness,A,positive,+1
Gentle,Agreeableness,A,positive,+1
Calm,Neuroticism,N,negative,-1
Anxious,Neuroticism,N,positive,+1
Sensitive,Neuroticism,N,positive,+1
Moody,Neuroticism,N,positive,+1
